stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,in,type
PNG2,PNG2,PEGO NEGRO,,41.1590434521004,-8.56649111652642,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PNG2,True,bus
FTC2,FTC2,FONTE DE CONTUMIL,,41.1684038036966,-8.58257239579764,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTC2,True,bus
FRX3,FRX3,FREIXO,,41.1462105982412,-8.57823161818415,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FRX3,True,bus
LDSM1,LDSM1,LIDADOR-SOEIRO MENDES,,41.1762226520061,-8.66315842022534,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LDSM1,True,bus
LDSM2,LDSM2,LIDADOR-SOEIRO MENDES,,41.1763860260505,-8.66408654709962,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LDSM2,True,bus
HSJ5,HSJ5,HOSP. S. JOÃO (URGÊNCIA),,41.1829999982669,-8.60102776406601,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HSJ5,True,bus
HSJ6,HSJ6,HOSP. S. JOÃO (URGÊNCIA),,41.1828921092331,-8.60052355775418,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HSJ6,True,bus
MCE1,MCE1,MUSEU C. ELÉCTRICO,,41.1467235211673,-8.63230283545897,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCE1,True,bus
SMAI1,SMAI1,SALGUEIRO MAIA,,41.148666701264,-8.63129351101723,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SMAI1,True,bus
BSS6,BSS6,BESSA,,41.1600608589672,-8.64415417444374,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSS6,True,bus
BBL,BBL,BAIRRO BESSA LEITE,,41.1576420804833,-8.6456426883844,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BBL,True,bus
MARB,MARB,MOCIDADE ARRÁBIDA,,41.1514737781223,-8.64633407922938,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARB,True,bus
TEC,TEC,TV. ENTRE CAMPOS,,41.1488889115936,-8.64322215580278,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TEC,True,bus
CVLO1,CVLO1,COVELO,,41.1659166900427,-8.60633074918764,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CVLO1,True,bus
BPTL1,BPTL1,BR. DA PASTELEIRA,,41.1550733612398,-8.65818545651445,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BPTL1,True,bus
BPTL2,BPTL2,BR. DA PASTELEIRA,,41.1548942923963,-8.65819951176446,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BPTL2,True,bus
FCA,FCA,FACULDADE ARQUITETURA,,41.1502499402321,-8.63766670872726,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FCA,True,bus
SBNT,SBNT,EST.S.BENTO,,41.1453767148614,-8.61098308730028,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SBNT,True,bus
BCNT,BCNT,BR.CONTUMIL,,41.1658301293161,-8.58074779384326,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BCNT,True,bus
BFTM3,BFTM3,BR. FONTE DA MOURA,,41.1706719933102,-8.66098760297955,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFTM3,True,bus
BFTM4,BFTM4,BR.FONTE DA MOURA,,41.1703108633531,-8.66076544005647,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFTM4,True,bus
PDVD5,PDVD5,PEDRA VERDE,,41.1727771401168,-8.66248446534924,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PDVD5,True,bus
CSA3,CSA3,C.SAÚDE DE ALDOAR,,41.1759400277446,-8.66646292124853,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CSA3,True,bus
ALCF1,ALCF1,ALCAIDE FARIA,,41.1712301394046,-8.66695801182435,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALCF1,True,bus
PFMA2,PFMA2,PROF. MELO ADRIÃO,,41.1697546290523,-8.66805896947448,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFMA2,True,bus
PVC2,PVC2,PÊRO VAZ CAMINHA,,41.157227465364,-8.66720976404845,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PVC2,True,bus
DSS,DSS,DIONÍSIO SANTOS SILVA,,41.1749187495205,-8.60686045560148,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DSS,True,bus
REV1,REV1,REVILÃO,,41.1732150727518,-8.66037635836664,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=REV1,True,bus
REV2,REV2,REVILÃO,,41.1732466794604,-8.66057216561517,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=REV2,True,bus
PFMA1,PFMA1,PROF.MELO ADRIÃO,,41.1702480859104,-8.66753105454624,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFMA1,True,bus
LDDM1,LDDM1,LIDADOR/M.MONIZ,,41.1752232466717,-8.66144346385612,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LDDM1,True,bus
APT1,APT1,ANTÓNIO PATRÍCIO,,41.1591421975883,-8.64091494817787,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=APT1,True,bus
APT3,APT3,ANTÓNIO PATRÍCIO,,41.158671984914,-8.64057080611727,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=APT3,True,bus
PPR1,PPR1,PARQUE DA PRELADA,,41.1752546185943,-8.62758669572453,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PPR1,True,bus
PPR2,PPR2,PARQUE DA PRELADA,,41.1750731095988,-8.62770843062757,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PPR2,True,bus
HPRL3,HPRL3,HOSPITAL DA PRELADA,,41.1699721968225,-8.6291111112403,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HPRL3,True,bus
HPRL4,HPRL4,HOSPITAL DA PRELADA,,41.1699166410162,-8.62919446154275,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HPRL4,True,bus
MLAM1,MLAM1,MARIA LAMAS,,41.1699999972383,-8.63211108834489,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM1,True,bus
